strategy,trading_date,symbol,direction,entry_price,exit_price,signal_value,return
OPENING_MOMENTUM,2026-03-02,HON,LONG,243.85,247.96,0.008686659772492167,0.016854623744104957
OPENING_REVERSAL,2026-03-02,HON,SHORT,243.85,247.96,0.008686659772492167,-0.016854623744104957
OPENING_MOMENTUM,2026-03-02,HUBB,LONG,516.04,517.415,0.018623977260390223,0.002664522130067404
OPENING_REVERSAL,2026-03-02,HUBB,SHORT,516.04,517.415,0.018623977260390223,-0.002664522130067404
VWAP_MOMENTUM,2026-03-02,HUBB,LONG,516.04,517.415,0.01157813767586413,0.002664522130067404
OPENING_MOMENTUM,2026-03-02,INTC,LONG,44.935,45.48,0.015824573301684186,0.012128630243685157
OPENING_REVERSAL,2026-03-02,INTC,SHORT,44.935,45.48,0.015824573301684186,-0.012128630243685157
OPENING_MOMENTUM,2026-03-02,IREN,LONG,40.28,41.375,0.030970053749679982,0.027184707050645462
OPENING_REVERSAL,2026-03-02,IREN,SHORT,40.28,41.375,0.030970053749679982,-0.027184707050645462
VWAP_MOMENTUM,2026-03-02,IREN,LONG,40.28,41.375,0.01571599746469632,0.027184707050645462
VWAP_MOMENTUM,2026-03-02,KMI,LONG,33.585,33.87,0.0056382038621380914,0.008485931219294196
OPENING_MOMENTUM,2026-03-02,LHX,LONG,374.645,378.755,0.015986440677965952,0.010970385298082252
OPENING_REVERSAL,2026-03-02,LHX,SHORT,374.645,378.755,0.015986440677965952,-0.010970385298082252
OPENING_MOMENTUM,2026-03-02,LMT,SHORT,675.9,676.79,-0.019283506725286337,-0.001316762834738805
OPENING_REVERSAL,2026-03-02,LMT,LONG,675.9,676.79,-0.019283506725286337,0.001316762834738805
VWAP_MOMENTUM,2026-03-02,LMT,SHORT,675.9,676.79,-0.00870648367011606,-0.001316762834738805
OPENING_MOMENTUM,2026-03-02,MA,LONG,515.785,521.025,0.012335623159960729,0.010159271789602187
OPENING_REVERSAL,2026-03-02,MA,SHORT,515.785,521.025,0.012335623159960729,-0.010159271789602187
VWAP_MOMENTUM,2026-03-02,MA,LONG,515.785,521.025,0.0051894988412568566,0.010159271789602187
OPENING_MOMENTUM,2026-03-02,MDT,LONG,97.71,98.08,0.008879710893133774,0.003786715791628259
OPENING_REVERSAL,2026-03-02,MDT,SHORT,97.71,98.08,0.008879710893133774,-0.003786715791628259
OPENING_MOMENTUM,2026-03-02,META,LONG,648.54,653.55,0.018579887232806014,0.007725043944860843
OPENING_REVERSAL,2026-03-02,META,SHORT,648.54,653.55,0.018579887232806014,-0.007725043944860843
VWAP_MOMENTUM,2026-03-02,META,LONG,648.54,653.55,0.005593112226898178,0.007725043944860843
OPENING_MOMENTUM,2026-03-02,MS,LONG,167.3,166.98,0.02922177791448788,-0.001912731619844732
OPENING_REVERSAL,2026-03-02,MS,SHORT,167.3,166.98,0.02922177791448788,0.001912731619844732
VWAP_MOMENTUM,2026-03-02,MS,LONG,167.3,166.98,0.014017833141058533,-0.001912731619844732
OPENING_MOMENTUM,2026-03-02,MSFT,LONG,398.075,398.49,0.013287345203701006,0.0010425171136092537
OPENING_REVERSAL,2026-03-02,MSFT,SHORT,398.075,398.49,0.013287345203701006,-0.0010425171136092537
VWAP_MOMENTUM,2026-03-02,MSFT,LONG,398.075,398.49,0.00647062748304883,0.0010425171136092537
OPENING_MOMENTUM,2026-03-02,MU,LONG,408.81,412.44,0.01815600717274357,0.008879430542305666
OPENING_REVERSAL,2026-03-02,MU,SHORT,408.81,412.44,0.01815600717274357,-0.008879430542305666
OPENING_MOMENTUM,2026-03-02,NEE,SHORT,92.155,92.69,-0.011954540581108564,-0.005805436492865246
OPENING_REVERSAL,2026-03-02,NEE,LONG,92.155,92.69,-0.011954540581108564,0.005805436492865246
OPENING_MOMENTUM,2026-03-02,NFLX,LONG,97.08,97.06,0.018677859391395657,-0.00020601565718991743
OPENING_REVERSAL,2026-03-02,NFLX,SHORT,97.08,97.06,0.018677859391395657,0.00020601565718991743
OPENING_MOMENTUM,2026-03-02,NOC,LONG,757.125,767.32,0.023141891891891975,0.01346541192009254
OPENING_REVERSAL,2026-03-02,NOC,SHORT,757.125,767.32,0.023141891891891975,-0.01346541192009254
VWAP_MOMENTUM,2026-03-02,NOC,LONG,757.125,767.32,0.006869843118560981,0.01346541192009254
OPENING_MOMENTUM,2026-03-02,NOW,LONG,109.75,109.42,0.0371385371385371,-0.0030068337129840472
OPENING_REVERSAL,2026-03-02,NOW,SHORT,109.75,109.42,0.0371385371385371,0.0030068337129840472
VWAP_MOMENTUM,2026-03-02,NOW,LONG,109.75,109.42,0.009009636918602792,-0.0030068337129840472
OPENING_MOMENTUM,2026-03-02,NVDA,LONG,179.725,182.4,0.028116240489674427,0.014883850326888437
OPENING_REVERSAL,2026-03-02,NVDA,SHORT,179.725,182.4,0.028116240489674427,-0.014883850326888437
VWAP_MOMENTUM,2026-03-02,OKE,LONG,84.07,86.115,0.007206091926705183,0.02432496728916389
OPENING_MOMENTUM,2026-03-02,ORCL,LONG,145.51,149.16,0.024934845389871008,0.02508418665383827
OPENING_REVERSAL,2026-03-02,ORCL,SHORT,145.51,149.16,0.024934845389871008,-0.02508418665383827
VWAP_MOMENTUM,2026-03-02,ORCL,LONG,145.51,149.16,0.009977857965538961,0.02508418665383827
OPENING_MOMENTUM,2026-03-02,OXY,SHORT,54.285,54.19,-0.03373086507653977,0.0017500230266187522
OPENING_REVERSAL,2026-03-02,OXY,LONG,54.285,54.19,-0.03373086507653977,-0.0017500230266187522
OPENING_MOMENTUM,2026-03-02,PANW,LONG,150.05,150.13,0.012722302838052313,0.0005331556147949446
OPENING_REVERSAL,2026-03-02,PANW,SHORT,150.05,150.13,0.012722302838052313,-0.0005331556147949446
VWAP_MOMENTUM,2026-03-02,PANW,LONG,150.05,150.13,0.00748673121546406,0.0005331556147949446
OPENING_MOMENTUM,2026-03-02,PSX,SHORT,157.78,160.1,-0.01016311166875783,-0.014704018253264062
OPENING_REVERSAL,2026-03-02,PSX,LONG,157.78,160.1,-0.01016311166875783,0.014704018253264062
OPENING_MOMENTUM,2026-03-02,PWR,LONG,563.81,572.67,0.012708020871689207,0.01571451375463373
OPENING_REVERSAL,2026-03-02,PWR,SHORT,563.81,572.67,0.012708020871689207,-0.01571451375463373
OPENING_MOMENTUM,2026-03-02,REGN,LONG,782.8,790.25,0.013333333333333197,0.009517118037813077
OPENING_REVERSAL,2026-03-02,REGN,SHORT,782.8,790.25,0.013333333333333197,-0.009517118037813077
OPENING_MOMENTUM,2026-03-02,RKLB,LONG,69.2,70.89,0.03623839472896084,0.02442196531791896
OPENING_REVERSAL,2026-03-02,RKLB,SHORT,69.2,70.89,0.03623839472896084,-0.02442196531791896
OPENING_MOMENTUM,2026-03-02,ROK,LONG,409.305,412.05,0.01960466825264362,0.006706490270091958
OPENING_REVERSAL,2026-03-02,ROK,SHORT,409.305,412.05,0.01960466825264362,-0.006706490270091958
VWAP_MOMENTUM,2026-03-02,ROK,LONG,409.305,412.05,0.017539686611471206,0.006706490270091958
OPENING_MOMENTUM,2026-03-02,SCHW,LONG,95.72,95.46,0.017864738409187453,-0.002716255745925711
OPENING_REVERSAL,2026-03-02,SCHW,SHORT,95.72,95.46,0.017864738409187453,0.002716255745925711
OPENING_MOMENTUM,2026-03-02,SLB,SHORT,50.91,51.26,-0.016041747197526157,-0.006874877234335219
OPENING_REVERSAL,2026-03-02,SLB,LONG,50.91,51.26,-0.016041747197526157,0.006874877234335219
VWAP_MOMENTUM,2026-03-02,SLB,LONG,50.91,51.26,0.011688286448381158,0.006874877234335219
VWAP_MOMENTUM,2026-03-02,SNPS,LONG,412.845,424.92,0.005146797777044521,0.029248265087381542
OPENING_MOMENTUM,2026-03-02,TDG,LONG,1319.555,1315.98,0.01157183815525209,-0.0027092466778573243
OPENING_REVERSAL,2026-03-02,TDG,SHORT,1319.555,1315.98,0.01157183815525209,0.0027092466778573243
VWAP_MOMENTUM,2026-03-02,TDG,LONG,1319.555,1315.98,0.0073506339309799,-0.0027092466778573243
OPENING_MOMENTUM,2026-03-02,TMO,SHORT,506.69,508.48,-0.0087835987323448,-0.0035327320452347433
OPENING_REVERSAL,2026-03-02,TMO,LONG,506.69,508.48,-0.0087835987323448,0.0035327320452347433
VWAP_MOMENTUM,2026-03-02,TMO,SHORT,506.69,508.48,-0.005860339953175253,-0.0035327320452347433
OPENING_MOMENTUM,2026-03-02,TSLA,LONG,396.0,403.365,0.014630146813907619,0.01859848484848481
OPENING_REVERSAL,2026-03-02,TSLA,SHORT,396.0,403.365,0.014630146813907619,-0.01859848484848481
VWAP_MOMENTUM,2026-03-02,TSLA,LONG,396.0,403.365,0.005123276338089955,0.01859848484848481
OPENING_MOMENTUM,2026-03-02,UNH,LONG,292.28,294.91,0.011962260884618603,0.008998220884083974
OPENING_REVERSAL,2026-03-02,UNH,SHORT,292.28,294.91,0.011962260884618603,-0.008998220884083974
OPENING_MOMENTUM,2026-03-02,VLO,SHORT,210.26,214.92,-0.02195553074704626,-0.022163036240844702
OPENING_REVERSAL,2026-03-02,VLO,LONG,210.26,214.92,-0.02195553074704626,0.022163036240844702
OPENING_MOMENTUM,2026-03-02,VRT,LONG,252.41,257.67,0.009640000000000093,0.02083911097024682
OPENING_REVERSAL,2026-03-02,VRT,SHORT,252.41,257.67,0.009640000000000093,-0.02083911097024682
VWAP_MOMENTUM,2026-03-02,VRT,LONG,252.41,257.67,0.011111655682466193,0.02083911097024682
OPENING_MOMENTUM,2026-03-02,VRTX,SHORT,490.88,486.03,-0.009363900548918336,0.009880215123859282
OPENING_REVERSAL,2026-03-02,VRTX,LONG,490.88,486.03,-0.009363900548918336,-0.009880215123859282
VWAP_MOMENTUM,2026-03-02,VRTX,SHORT,490.88,486.03,-0.005894172141585163,0.009880215123859282
OPENING_MOMENTUM,2026-03-02,VST,LONG,172.57,165.98,0.01324017262131938,-0.03818740221359451
OPENING_REVERSAL,2026-03-02,VST,SHORT,172.57,165.98,0.01324017262131938,0.03818740221359451
VWAP_MOMENTUM,2026-03-02,VST,SHORT,172.57,165.98,-0.007605232897340608,0.03818740221359451
VWAP_MOMENTUM,2026-03-02,WMB,LONG,75.88,76.25,0.006299200668088201,0.0048761201897733475
OPENING_MOMENTUM,2026-03-02,XOM,SHORT,155.47,154.19,-0.022385713387411244,0.008233099633369823
OPENING_REVERSAL,2026-03-02,XOM,LONG,155.47,154.19,-0.022385713387411244,-0.008233099633369823
VWAP_MOMENTUM,2026-03-03,ABBV,SHORT,231.3,233.8,-0.007570854028980056,-0.01080847384349326
OPENING_MOMENTUM,2026-03-03,ADBE,LONG,263.015,270.99,0.00946075609288033,0.03032146455525364
OPENING_REVERSAL,2026-03-03,ADBE,SHORT,263.015,270.99,0.00946075609288033,-0.03032146455525364
VWAP_MOMENTUM,2026-03-03,ADBE,SHORT,263.015,270.99,-0.005443155445358894,-0.03032146455525364
GAP_FOLLOW,2026-03-03,ADI,SHORT,340.16,339.01,-0.034239963659076667,0.0033807619943556633
GAP_FADE,2026-03-03,ADI,LONG,340.16,339.01,-0.034239963659076667,-0.0033807619943556633
OPENING_MOMENTUM,2026-03-03,AEP,SHORT,130.41,131.89,-0.012045454545454581,-0.01134882294302586
OPENING_REVERSAL,2026-03-03,AEP,LONG,130.41,131.89,-0.012045454545454581,0.01134882294302586
GAP_FOLLOW,2026-03-03,AMAT,SHORT,351.315,351.33,-0.055795202580124936,-4.2696725161217586e-05
GAP_FADE,2026-03-03,AMAT,LONG,351.315,351.33,-0.055795202580124936,4.2696725161217586e-05
GAP_FOLLOW,2026-03-03,AMD,SHORT,191.51,191.01,-0.035554212620234726,0.0026108297216855814
GAP_FADE,2026-03-03,AMD,LONG,191.51,191.01,-0.035554212620234726,-0.0026108297216855814
VWAP_MOMENTUM,2026-03-03,AMD,SHORT,190.285,191.01,-0.006847203124605183,-0.0038100743621409805
GAP_FOLLOW,2026-03-03,AMGN,SHORT,378.45,377.0,-0.018669778296382722,0.003831417624520994
GAP_FADE,2026-03-03,AMGN,LONG,378.45,377.0,-0.018669778296382722,-0.003831417624520994
VWAP_MOMENTUM,2026-03-03,AMGN,SHORT,376.195,377.0,-0.00605895052088945,-0.0021398476853760062
GAP_FOLLOW,2026-03-03,AMZN,SHORT,203.17,208.63,-0.02444060309228846,-0.026874046365112925
GAP_FADE,2026-03-03,AMZN,LONG,203.17,208.63,-0.02444060309228846,0.026874046365112925
GAP_FOLLOW,2026-03-03,AVGO,SHORT,312.45,313.85,-0.02007213423239773,-0.0044807169147065284
GAP_FADE,2026-03-03,AVGO,LONG,312.45,313.85,-0.02007213423239773,0.0044807169147065284
OPENING_MOMENTUM,2026-03-03,BA,SHORT,222.745,224.01,-0.013311184939091891,-0.005679139823564938
OPENING_REVERSAL,2026-03-03,BA,LONG,222.745,224.01,-0.013311184939091891,0.005679139823564938
GAP_FOLLOW,2026-03-03,BA,SHORT,225.75,224.01,-0.01655412764103681,0.007707641196013304
GAP_FADE,2026-03-03,BA,LONG,225.75,224.01,-0.01655412764103681,-0.007707641196013304
GAP_FOLLOW,2026-03-03,BAC,SHORT,48.79,49.98,-0.020084354288009587,-0.024390243902439046
GAP_FADE,2026-03-03,BAC,LONG,48.79,49.98,-0.020084354288009587,0.024390243902439046
OPENING_MOMENTUM,2026-03-03,BKNG,LONG,4151.69,4149.68,0.012604847305250244,-0.00048414019351139537
OPENING_REVERSAL,2026-03-03,BKNG,SHORT,4151.69,4149.68,0.012604847305250244,0.00048414019351139537
GAP_FOLLOW,2026-03-03,BKNG,SHORT,4100.01,4149.68,-0.01840133880154271,-0.012114604598525425
GAP_FADE,2026-03-03,BKNG,LONG,4100.01,4149.68,-0.01840133880154271,0.012114604598525425
GAP_FOLLOW,2026-03-03,BLK,SHORT,1033.0,1052.64,-0.03293452414387099,-0.01901258470474354
GAP_FADE,2026-03-03,BLK,LONG,1033.0,1052.64,-0.03293452414387099,0.01901258470474354
OPENING_MOMENTUM,2026-03-03,CARR,SHORT,60.87,61.14,-0.010163427920969137,-0.004435682602267121
OPENING_REVERSAL,2026-03-03,CARR,LONG,60.87,61.14,-0.010163427920969137,0.004435682602267121
GAP_FOLLOW,2026-03-03,CARR,SHORT,61.495,61.14,-0.03673245614035092,0.005772827059110419
GAP_FADE,2026-03-03,CARR,LONG,61.495,61.14,-0.03673245614035092,-0.005772827059110419
VWAP_MOMENTUM,2026-03-03,CARR,SHORT,60.87,61.14,-0.007553620826384222,-0.004435682602267121
OPENING_MOMENTUM,2026-03-03,CAT,SHORT,716.25,722.35,-0.016882849495573393,-0.008516579406631752
OPENING_REVERSAL,2026-03-03,CAT,LONG,716.25,722.35,-0.016882849495573393,0.008516579406631752
GAP_FOLLOW,2026-03-03,CAT,SHORT,728.55,722.35,-0.031247922345588708,0.008510054217280794
GAP_FADE,2026-03-03,CAT,LONG,728.55,722.35,-0.031247922345588708,-0.008510054217280794
VWAP_MOMENTUM,2026-03-03,CAT,SHORT,716.25,722.35,-0.005923289292005807,-0.008516579406631752
GAP_FOLLOW,2026-03-03,CDNS,SHORT,298.18,300.6,-0.0171240214256283,-0.008115903145750947
GAP_FADE,2026-03-03,CDNS,LONG,298.18,300.6,-0.0171240214256283,0.008115903145750947
GAP_FOLLOW,2026-03-03,CEG,SHORT,315.685,324.96,-0.03522202866660551,-0.029380553399749765
GAP_FADE,2026-03-03,CEG,LONG,315.685,324.96,-0.03522202866660551,0.029380553399749765
VWAP_MOMENTUM,2026-03-03,CEG,LONG,315.73,324.96,0.010838605217125652,0.029233839039685794
OPENING_MOMENTUM,2026-03-03,CI,SHORT,276.96,283.85,-0.019610619469026647,-0.024877238590410355
OPENING_REVERSAL,2026-03-03,CI,LONG,276.96,283.85,-0.019610619469026647,0.024877238590410355
GAP_FOLLOW,2026-03-03,CI,SHORT,282.5,283.85,-0.028308052144601636,-0.004778761061946968
GAP_FADE,2026-03-03,CI,LONG,282.5,283.85,-0.028308052144601636,0.004778761061946968
VWAP_MOMENTUM,2026-03-03,CI,SHORT,276.96,283.85,-0.012233102493892534,-0.024877238590410355
OPENING_MOMENTUM,2026-03-03,COP,SHORT,117.99,118.455,-0.02180401260155873,-0.003941011950165274
OPENING_REVERSAL,2026-03-03,COP,LONG,117.99,118.455,-0.02180401260155873,0.003941011950165274
GAP_FOLLOW,2026-03-03,COP,LONG,120.62,118.455,0.02004228329809732,-0.017948930525617746
GAP_FADE,2026-03-03,COP,SHORT,120.62,118.455,0.02004228329809732,0.017948930525617746
VWAP_MOMENTUM,2026-03-03,COP,SHORT,117.99,118.455,-0.011498673384012892,-0.003941011950165274
GAP_FOLLOW,2026-03-03,CRM,SHORT,190.47,196.05,-0.012853070743715889,-0.029295952118443935
GAP_FADE,2026-03-03,CRM,LONG,190.47,196.05,-0.012853070743715889,0.029295952118443935
GAP_FOLLOW,2026-03-03,CSCO,SHORT,78.42,78.95,-0.012466943709860123,-0.0067584799795969985
GAP_FADE,2026-03-03,CSCO,LONG,78.42,78.95,-0.012466943709860123,0.0067584799795969985
OPENING_MOMENTUM,2026-03-03,CVX,SHORT,188.31,188.76,-0.011911008500367304,-0.002389676597100543
OPENING_REVERSAL,2026-03-03,CVX,LONG,188.31,188.76,-0.011911008500367304,0.002389676597100543
OPENING_MOMENTUM,2026-03-03,CW,SHORT,694.58,702.275,-0.021594286599709744,-0.01107863744996962
OPENING_REVERSAL,2026-03-03,CW,LONG,694.58,702.275,-0.021594286599709744,0.01107863744996962
GAP_FOLLOW,2026-03-03,CW,SHORT,709.91,702.275,-0.02034761369203275,0.010754884421968924
GAP_FADE,2026-03-03,CW,LONG,709.91,702.275,-0.02034761369203275,-0.010754884421968924
VWAP_MOMENTUM,2026-03-03,CW,LONG,694.58,702.275,0.005740399590610679,0.01107863744996962
OPENING_MOMENTUM,2026-03-03,D,SHORT,61.025,62.67,-0.017627173213135894,-0.026956165505940266
OPENING_REVERSAL,2026-03-03,D,LONG,61.025,62.67,-0.017627173213135894,0.026956165505940266
GAP_FOLLOW,2026-03-03,D,SHORT,62.12,62.67,-0.014515745220909038,-0.008853831294269199
GAP_FADE,2026-03-03,D,LONG,62.12,62.67,-0.014515745220909038,0.008853831294269199
VWAP_MOMENTUM,2026-03-03,D,SHORT,61.025,62.67,-0.007761664491247822,-0.026956165505940266
OPENING_MOMENTUM,2026-03-03,DE,SHORT,614.395,619.305,-0.011010326205059373,-0.007991601494152789
OPENING_REVERSAL,2026-03-03,DE,LONG,614.395,619.305,-0.011010326205059373,0.007991601494152789
GAP_FOLLOW,2026-03-03,DE,SHORT,621.235,619.305,-0.01547543581616484,0.003106714850258041
GAP_FADE,2026-03-03,DE,LONG,621.235,619.305,-0.01547543581616484,-0.003106714850258041
VWAP_MOMENTUM,2026-03-03,DE,SHORT,614.395,619.305,-0.006288515692200902,-0.007991601494152789
GAP_FOLLOW,2026-03-03,DHR,SHORT,202.95,203.95,-0.014566642388929352,-0.00492732200049284
GAP_FADE,2026-03-03,DHR,LONG,202.95,203.95,-0.014566642388929352,0.00492732200049284
GAP_FOLLOW,2026-03-03,DIS,SHORT,102.87,103.29,-0.01380500431406384,-0.00408282298046081
GAP_FADE,2026-03-03,DIS,LONG,102.87,103.29,-0.01380500431406384,0.00408282298046081
OPENING_MOMENTUM,2026-03-03,DUK,SHORT,129.02,131.41,-0.01398547955674423,-0.01852425980468131
OPENING_REVERSAL,2026-03-03,DUK,LONG,129.02,131.41,-0.01398547955674423,0.01852425980468131
OPENING_MOMENTUM,2026-03-03,DVN,SHORT,44.405,44.0,-0.018674033149171265,0.009120594527643355
OPENING_REVERSAL,2026-03-03,DVN,LONG,44.405,44.0,-0.018674033149171265,-0.009120594527643355
GAP_FOLLOW,2026-03-03,ELV,SHORT,288.95,283.71,-0.017377405971570448,0.01813462536771071
GAP_FADE,2026-03-03,ELV,LONG,288.95,283.71,-0.017377405971570448,-0.01813462536771071
VWAP_MOMENTUM,2026-03-03,ELV,SHORT,289.67,283.71,-0.006389424178526726,0.02057513722511839
OPENING_MOMENTUM,2026-03-03,EMR,SHORT,146.51,146.5,-0.008828603321719752,6.82547266397382e-05
OPENING_REVERSAL,2026-03-03,EMR,LONG,146.51,146.5,-0.008828603321719752,-6.82547266397382e-05
GAP_FOLLOW,2026-03-03,EMR,SHORT,147.815,146.5,-0.027980535279805374,0.008896255454453161
GAP_FADE,2026-03-03,EMR,LONG,147.815,146.5,-0.027980535279805374,-0.008896255454453161
GAP_FOLLOW,2026-03-03,ENPH,SHORT,42.715,43.21,-0.045048066174826595,-0.011588434976003592
GAP_FADE,2026-03-03,ENPH,LONG,42.715,43.21,-0.045048066174826595,0.011588434976003592
OPENING_MOMENTUM,2026-03-03,EOG,SHORT,128.15,128.01,-0.01369968444547065,0.0010924697619977275
OPENING_REVERSAL,2026-03-03,EOG,LONG,128.15,128.01,-0.01369968444547065,-0.0010924697619977275
VWAP_MOMENTUM,2026-03-03,EOG,SHORT,128.15,128.01,-0.00819389905517831,0.0010924697619977275
OPENING_MOMENTUM,2026-03-03,EQT,SHORT,60.89,61.625,-0.019168814432989678,-0.012070947610445026
OPENING_REVERSAL,2026-03-03,EQT,LONG,60.89,61.625,-0.019168814432989678,0.012070947610445026
VWAP_MOMENTUM,2026-03-03,EQT,SHORT,60.89,61.625,-0.013847199951673383,-0.012070947610445026
OPENING_MOMENTUM,2026-03-03,ETN,SHORT,356.255,355.4,-0.026173359210562297,0.0023999663162622697
OPENING_REVERSAL,2026-03-03,ETN,LONG,356.255,355.4,-0.026173359210562297,-0.0023999663162622697
GAP_FOLLOW,2026-03-03,ETN,SHORT,365.83,355.4,-0.030631442274570042,0.028510510346335782
GAP_FADE,2026-03-03,ETN,LONG,365.83,355.4,-0.030631442274570042,-0.028510510346335782
VWAP_MOMENTUM,2026-03-03,ETN,SHORT,356.255,355.4,-0.009983318537798769,0.0023999663162622697
